model,window_days,threshold,precision,recall
arima,1,1.410178196437073e-09,0.017434210526315788,0.9814814814814815
arima,1,1.411892394664882e-09,0.017439947351102335,0.9814814814814815
arima,1,1.4202309883692974e-09,0.017445687952600396,0.9814814814814815
arima,1,1.420656189909941e-09,0.017451432334540665,0.9814814814814815
arima,1,1.4220439131795715e-09,0.01745718050065876,0.9814814814814815
arima,1,1.4379566010136458e-09,0.017462932454695223,0.9814814814814815
arima,1,1.4409854004471254e-09,0.01746868820039552,0.9814814814814815
arima,1,1.4529552005981827e-09,0.017474447741510055,0.9814814814814815
arima,1,1.454083103924475e-09,0.017480211081794195,0.9814814814814815
arima,1,1.457636705781695e-09,0.017485978225008247,0.9814814814814815
arima,1,1.4604703002518702e-09,0.01749174917491749,0.9814814814814815
arima,1,1.4619715021924051e-09,0.017497523935292175,0.9814814814814815
arima,1,1.4664604947034474e-09,0.01750330250990753,0.9814814814814815
arima,1,1.4678294968373251e-09,0.017509084902543774,0.9814814814814815
arima,1,1.4694748057264562e-09,0.017509084902543774,0.9814814814814815
arima,1,1.4697594946655455e-09,0.01751487111698612,0.9814814814814815
arima,1,1.4712650958648155e-09,0.017520661157024792,0.9814814814814815
arima,1,1.472870200802667e-09,0.017526455026455025,0.9814814814814815
arima,1,1.4806644937914724e-09,0.017532252729077075,0.9814814814814815
arima,1,1.481962497162925e-09,0.01753805426869623,0.9814814814814815
arima,1,1.4841251005925924e-09,0.017543859649122806,0.9814814814814815
arima,1,1.4870168013603191e-09,0.017549668874172187,0.9814814814814815
arima,1,1.490553597216504e-09,0.017555481947664788,0.9814814814814815
arima,1,1.4945026050039443e-09,0.01756129887342611,0.9814814814814815
arima,1,1.4950714000150354e-09,0.01756711965528671,0.9814814814814815
arima,1,1.4970652911783231e-09,0.017572944297082227,0.9814814814814815
arima,1,1.499545293492943e-09,0.017578772802653398,0.9814814814814815
arima,1,1.5147440107776686e-09,0.017584605175846053,0.9814814814814815
arima,1,1.5155945942701974e-09,0.017590441420511117,0.9814814814814815
arima,1,1.5172356981896227e-09,0.01759628154050465,0.9814814814814815
arima,1,1.5197343938844199e-09,0.01760212553968781,0.9814814814814815
arima,1,1.5246961054815602e-09,0.01760797342192691,0.9814814814814815
arima,1,1.533183205393307e-09,0.017613825191093387,0.9814814814814815
arima,1,1.5333761066438354e-09,0.01761968085106383,0.9814814814814815
arima,1,1.535599494784101e-09,0.01761968085106383,0.9814814814814815
arima,1,1.5461109892367375e-09,0.017625540405719987,0.9814814814814815
arima,1,1.548588701716369e-09,0.01763140385894877,0.9814814814814815
arima,1,1.5487447990736312e-09,0.017637271214642262,0.9814814814814815
arima,1,1.551853104353462e-09,0.017643142476697737,0.9814814814814815
arima,1,1.5536879977018359e-09,0.017649017649017648,0.9814814814814815
arima,1,1.5617439980131211e-09,0.01765489673550966,0.9814814814814815
arima,1,1.5625925969819932e-09,0.01766077974008664,0.9814814814814815
arima,1,1.5633574018680816e-09,0.017666666666666667,0.9814814814814815
arima,1,1.5682162929353536e-09,0.017672557519173057,0.9814814814814815
arima,1,1.571340807471344e-09,0.017678452301534357,0.9814814814814815
arima,1,1.5719481966103286e-09,0.01768435101768435,0.9814814814814815
arima,1,1.57347448959122e-09,0.017690253671562083,0.9814814814814815
arima,1,1.5748853054997623e-09,0.017696160267111852,0.9814814814814815
arima,1,1.5758552934785895e-09,0.017702070808283232,0.9814814814814815
arima,1,1.577671993047147e-09,0.017707985299031073,0.9814814814814815
arima,1,1.5845921935708771e-09,0.01771390374331551,0.9814814814814815
arima,1,1.5856388008161915e-09,0.017719826145101973,0.9814814814814815
arima,1,1.588444500932873e-09,0.017725752508361205,0.9814814814814815
arima,1,1.5936046926512402e-09,0.017731682837069253,0.9814814814814815
arima,1,1.5960738980469456e-09,0.017737617135207495,0.9814814814814815
arima,1,1.603018995322003e-09,0.01774355540676264,0.9814814814814815
arima,1,1.6035389960311621e-09,0.017749497655726726,0.9814814814814815
arima,1,1.607170091455501e-09,0.017755443886097153,0.9814814814814815
arima,1,1.611470498708023e-09,0.017761394101876677,0.9814814814814815
arima,1,1.613959799140474e-09,0.017767348307073418,0.9814814814814815
arima,1,1.6251494039387635e-09,0.017773306505700873,0.9814814814814815
arima,1,1.6273435932134814e-09,0.01777926870177793,0.9814814814814815
arima,1,1.6282099973841111e-09,0.01778523489932886,0.9814814814814815
arima,1,1.6394531981989147e-09,0.01779120510238335,0.9814814814814815
arima,1,1.6421122933651942e-09,0.017797179314976493,0.9814814814814815
arima,1,1.650866096603032e-09,0.017803157541148806,0.9814814814814815
arima,1,1.6520898954430763e-09,0.017809139784946238,0.9814814814814815
arima,1,1.6738743030542123e-09,0.01781512605042017,0.9814814814814815
arima,1,1.6808148067815052e-09,0.017821116341627436,0.9814814814814815
arima,1,1.6898927951425335e-09,0.01782711066263034,0.9814814814814815
arima,1,1.694528295459463e-09,0.017833109017496636,0.9814814814814815
arima,1,1.6980820916057127e-09,0.017839111410299563,0.9814814814814815
arima,1,1.7049196915364107e-09,0.017845117845117844,0.9814814814814815
arima,1,1.708119090615412e-09,0.017851128326035703,0.9814814814814815
arima,1,1.7131241980550271e-09,0.017857142857142856,0.9814814814814815
arima,1,1.7209026009767923e-09,0.017863161442534546,0.9814814814814815
arima,1,1.7219817932678792e-09,0.01786918408631153,0.9814814814814815
arima,1,1.7219913966970422e-09,0.0178752107925801,0.9814814814814815
arima,1,1.725451809209133e-09,0.01788124156545209,0.9814814814814815
arima,1,1.7282208025770631e-09,0.017887276409044885,0.9814814814814815
arima,1,1.7334014917880223e-09,0.01789331532748143,0.9814814814814815
arima,1,1.7348737030298267e-09,0.01789935832489024,0.9814814814814815
arima,1,1.7353502940187224e-09,0.017905405405405406,0.9814814814814815
arima,1,1.7384954031918196e-09,0.01791145657316661,0.9814814814814815
arima,1,1.7414034103602203e-09,0.017917511832319134,0.9814814814814815
arima,1,1.742239408297763e-09,0.017923571187013865,0.9814814814814815
arima,1,1.7430640958382424e-09,0.017929634641407306,0.9814814814814815
arima,1,1.7477216895933623e-09,0.01793570219966159,0.9814814814814815
arima,1,1.7503517940609115e-09,0.01794177386594448,0.9814814814814815
arima,1,1.7519178052705087e-09,0.017947849644429394,0.9814814814814815
arima,1,1.757251594236564e-09,0.017953929539295393,0.9814814814814815
arima,1,1.7600120943983555e-09,0.017960013554727212,0.9814814814814815
arima,1,1.7615295888617764e-09,0.017966101694915255,0.9814814814814815
arima,1,1.777569702543502e-09,0.01797219396405561,0.9814814814814815
arima,1,1.777717098527809e-09,0.01797829036635007,0.9814814814814815
